address_id,address_service_id,address_name,address_service_name,address_type,address_service_prefix,address_parent,address-service_parent, Simillar,,NOTE
6684,2188,Trường Thành,Trường Thành,1,Xã,Huyện An Lão,An Lão,1,,
6685,2189,Trường Thọ,Trường Thọ,1,Xã,Huyện An Lão,An Lão,1,,
24012,3629,Đông Hưng A,Đông Hưng A,1,Xã,Huyện An Minh,An Minh,1,,
24015,3630,Đông Hưng B,Đông Hưng B,1,Xã,Huyện An Minh,An Minh,1,,
24009,3634,Thuận Hòa,Thuận Hoà,1,Xã,Huyện An Minh,An Minh,1,,
24018,3636,Vân Khánh Đông,Vân Khánh Đông,1,Xã,Huyện An Minh,An Minh,1,,
24021,3637,Vân Khánh Tây,Vân Khánh Tây,1,Xã,Huyện An Minh,An Minh,1,,
19606,3183,Bình An,Bình An,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19612,3186,Hải Ninh,Hải Ninh,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19646,3187,Hoà Thắng,Hoà Thắng,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19652,3188,Hồng Phong,Hồng Phong,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19631,3189,Hồng Thái,Hồng Thái,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19605,3191,Phan Điền,Phan Điền,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19648,3192,Phan Hiệp,Phan Hiệp,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19609,3193,Phan Hoà,Phan Hoà,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19603,3194,Phan Lâm,Phan Lâm,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19617,3195,Phan Rí Thành,Phan Rí Thành,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19604,3196,Phan Sơn,Phan Sơn,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19620,3197,Phan Thanh,Phan Thanh,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19644,3198,Phan Tiến,Phan Tiến,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19635,3199,Sông Bình,Sông Bình,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
19641,3200,Sông Luỹ,Sông Lũy,1,Xã,Huyện Bắc Bình,Bắc Bình,1,,
7245,2384,An Thạnh,An Thạnh,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7246,2386,Bình Đức,Bình Đức,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7247,2387,Long Hiệp,Long Hiệp,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7248,2388,Lương Bình,Lương Bình,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7249,2389,Lương Hòa,Lương Hòa,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7250,2390,Mỹ Yên,Mỹ Yên,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7251,2391,Nhựt Chánh,Nhựt Chánh,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7252,2392,Phước Lợi,Phước Lợi,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7253,2393,Tân Bửu,Tân Bửu,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7254,2394,Tân Hòa,Tân Hòa,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7255,2395,Thạnh Đức,Thạnh Đức,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7256,2396,Thạnh Hòa,Thạnh Hòa,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7257,2397,Thạnh Lợi,Thạnh Lợi,1,Xã,Huyện Bến Lức,Bến Lức,1,,
7258,2398,Thanh Phú,Thanh Phú,1,Xã,Huyện Bến Lức,Bến Lức,1,,
6792,9242,An Đổ,An Đổ,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6793,9243,An Lão,An Lão,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6794,9244,AN Mỹ,An Mỹ,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6795,9245,An Ninh,An Ninh,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6796,9246,An Nội,An Nội,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6797,9248,Bình Nghĩa,Bình Nghĩa,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6798,9249,Bồ Đề,Bồ Đề,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6799,9250,Bối Cầu,Bối Cầu,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6800,9251,Đồn Xá,Đồn Xá,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6801,9252,Đồng Du,Đồng Du,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6802,9253,Hưng Công,Hưng Công,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6803,9254,La Sơn,La Sơn,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6804,9255,Mỹ Thọ,Mỹ Thọ,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6805,9256,Ngọc Lũ,Ngọc Lũ,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6806,9257,Tiêu Động,Tiêu Động,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6807,9258,Tràng An,Tràng An,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6808,9259,Trung Lương,Trung Lương,1,Xã,Huyện Bình Lục,Bình Lục,1,,
35282,9260,Vũ Bản,Vũ Bản,1,Xã,Huyện Bình Lục,Bình Lục,1,,
6347,7196,Bá Hiến,Bá Hiến,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6355,7200,Hương Sơn,Hương Sơn,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6350,7201,Phú Xuân,Phú Xuân,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6354,7202,Quất Lưu,Quất Lưu,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6351,7203,Sơn Lôi,Sơn Lôi,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6352,7204,Tam Hợp,Tam Hợp,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6353,7205,Tân Phong,Tân Phong,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
6357,7207,Thiện Kế,Thiện Kế,1,Xã,Huyện Bình Xuyên,Bình Xuyên,1,,
23724,5704,Đăng Hà,Đăng Hà,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
23736,5706,Đồng Nai,Đồng Nai,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
23727,5709,Đường 10,Đường 10,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
23730,5713,Phú Sơn,Phú Sơn,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
23733,5714,Phước Sơn,Phước Sơn,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
23739,5716,Thống Nhất,Thống Nhất,1,Xã,Huyện Bù Đăng,Bù Đăng,1,,
6505,6252,Bình Phú,Bình Phú,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6490,6254,Cẩm Sơn,Cẩm Sơn,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6488,6255,Hiệp Đức,Hiệp Đức,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6487,6256,Hội Xuân,Hội Xuân,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6492,6257,Long Tiên,Long Tiên,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6493,6258,Long Trung,Long Trung,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6494,6260,Mỹ Long,Mỹ Long,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6509,6261,Mỹ Thành Bắc,Mỹ Thành Bắc,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6508,6262,Mỹ Thành Nam,Mỹ Thành Nam,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6485,6263,Ngũ Hiệp,Ngũ Hiệp,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6489,6265,Phú An,Phú An,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6506,6267,Phú Nhuận,Phú Nhuận,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6495,6269,Tam Bình,Tam Bình,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6486,6271,Tân Phong,Tân Phong,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
6510,6272,Thạnh Lộc,Thạnh Lộc,1,Xã,Huyện Cai Lậy,Cai Lậy,1,,
7037,1869,Bảo Bình,Bảo Bình,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7039,1870,Lâm San,Lâm San,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7034,1872,Nhân Nghĩa,Nhân Nghĩa,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7040,1873,Sông Nhạn,Sông Nhạn,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7032,1874,Sông Ray,Sông Ray,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7030,1875,Thừa Đức,Thừa Đức,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7036,1876,Xuân Bảo,Xuân Bảo,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7041,1877,Xuân Đông,Xuân Đông,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7033,1878,Xuân Đường,Xuân Đường,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7031,1879,Xuân Mỹ,Xuân Mỹ,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7029,1880,Xuân Quế,Xuân Quế,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7038,1881,Xuân Tây,Xuân Tây,1,Xã,Huyện Cẩm Mỹ,Cẩm Mỹ,1,,
7259,2400,Long Cang,Long Cang,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7260,2401,Long Đinh,Long Định,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7261,2402,Long Hòa,Long Hòa,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7262,2403,Long Hựu Đông,Long Hựu Đông,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7263,2404,Long Hựu Tây,Long Hựu Tây,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7264,2405,Long Khê,Long Khê,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7265,2406,Long Sơn,Long Sơn,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7266,2408,Long Trạch,Long Trạch,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7267,2409,Mỹ Lệ,Mỹ Lệ,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7268,2410,Phước Đông,Phước Đông,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7269,2411,Phước Tuy,Phước Tuy,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7270,2412,Phước Vân,Phước Vân,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7271,2413,Tân Ân,Tân Ân,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7272,2414,Tân Chánh,Tân Chánh,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7273,2415,Tân Lân,Tân Lân,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7274,2416,Tân Trạch,Tân Trạch,1,Xã,Huyện Cần Đước,Cần Đước,1,,
7275,2418,Đông Thạnh,Đông Thạnh,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7276,2419,Long An,Long An,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7277,2420,Long Hậu,Long Hậu,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7278,2421,Long Phụng,Long Phụng,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7279,2422,Long thượng,Long Thượng,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7280,2423,Mỹ Lộc,Mỹ Lộc,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
23682,2424,Phước Hậu,Phước Hậu,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7286,2425,Phước lại,Phước Lại,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7285,2426,Phước Lâm,Phước Lâm,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
23721,2427,Phước Lý,Phước Lý,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7281,2428,Phước Vĩnh Đông,Phước Vĩnh Đông,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7282,2429,Phước Vĩnh Tây,Phước Vĩnh Tây,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7283,2430,Tân Kim,Tân Kim,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7284,2431,Tân Tập,Tân Tập,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
7287,2432,Thuận Thành,Thuận Thành,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
24100,2433,Trường Bình,Trường Bình,1,Xã,Huyện Cần Giuộc,Cần Giuộc,1,,
18430,9648,Tân Nhuận Đông,Tân Nhuận Đông,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7345,2444,Thanh Phú Long,Thanh Phú Long,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7347,2445,Thanh Vĩnh Đông,Thanh Vĩnh Đông,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7346,2446,Thuận Mỹ,Thuận Mỹ,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7612,9768,An Hiệp,An Hiệp,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7613,9769,An Ninh,An Ninh,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7617,9771,Hồ Đăc Kiện,Hồ Đắc Kiện,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7615,9772,Phú Tâm,Phú Tâm,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7611,9773,Phú Tân,Phú Tân,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7614,9774,Thiện Mỹ,Thiện Mỹ,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7616,9775,Thuận Hòa,Thuận Hòa,1,Xã,Huyện Châu Thành,Châu Thành,1,,
7645,9779,An Thạnh Đông,An Thạnh Đông,1,Xã,Huyện Cù Lao Dung,Cù Lao Dung,1,,
7646,9780,An Thạnh Nam,An Thạnh Nam,1,Xã,Huyện Cù Lao Dung,Cù Lao Dung,1,,
7643,9781,An Thạnh Tây,An Thạnh Tây,1,Xã,Huyện Cù Lao Dung,Cù Lao Dung,1,,
6089,1760,An Lập,An Lập,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6090,1763,Đình An,Định An,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6092,1764,Định Thành,Định Thành,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6093,1765,Long Hòa,Long Hòa,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6094,1766,Long Tân,Long Tân,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6095,1767,Minh Hòa,Minh Hòa,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6096,1768,Minh Tân,Minh Tân,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6097,1769,Minh Thạnh,Minh Thạnh,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6098,1770,Thanh An,Thanh An,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
6099,1771,Thanh Tuyền,Thanh Tuyền,1,Xã,Huyện Dầu Tiếng,Dầu Tiếng,1,,
14800,11392,Bắc Lãng,Bắc Lãng,1,Xã,Huyện Đình Lập,Đình Lập,1,,
14801,11393,Bắc Xa,Bắc Xa,1,Xã,Huyện Đình Lập,Đình Lập,1,,
14803,11394,Bính Xá,Bính Xá,1,Xã,Huyện Đình Lập,Đình Lập,1,,
14807,11396,Cường Lợi,Cường Lợi,1,Xã,Huyện Đình Lập,Đình Lập,1,,
14812,11400,Kiên Mộc,Kiên Mộc,1,Xã,Huyện Đình Lập,Đình Lập,1,,
22256,6326,Đông Lĩnh,Đông Lĩnh,1,Xã,Huyện Đông Hưng,Đông Hưng,1,,
25961,3946,Hưng Đạo,Hưng Đạo,1,Xã,Huyện Đông Triều,Đông Triều,1,,
20951,2448,An Ninh Đông,An Ninh Đông,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20952,2449,An Ninh Tây,An Ninh Tây,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20947,2451,Đức Hòa Đông,Đức Hoà Đông,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7366,2452,Đức Hòa Hạ,Đức Hoà Hạ,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7365,2453,Đức Hòa Thượng,Đức Hoà Thượng,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7368,2454,Đức Lập Hạ,Đức Lập Hạ,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7367,2455,Đức Lập thượng,Đức Lập Thượng,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7364,2458,Hiệp Hòa,Hiệp Hòa,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20946,2459,Hòa Khánh Đông,Hoà Khánh Đông,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7363,2460,Hòa Khánh Nam,Hoà Khánh Nam,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20953,2461,Hòa Khánh Tây,Hòa Khánh Tây,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7362,2462,Hựu Thạnh,Hựu Thạnh,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7359,2463,Lộc Giang,Lộc Giang,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20948,2464,Mỹ Hạnh Bắc,Mỹ Hạnh Bắc,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
20954,2465,Mỹ Hạnh Nam,Mỹ Hạnh Nam,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7361,2466,Tân Mỹ,Tân Mỹ,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7360,2467,Tân Phú,Tân Phú,1,Xã,Huyện Đức Hòa,Đức Hòa,1,,
7369,2468,Bình Hòa Bắc,Bình Hòa Bắc,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7370,2469,Bình Hòa Hưng,Bình Hòa Hưng,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7371,2470,Bình Hòa Nam,Bình Hòa Nam,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7372,2471,Bình Thành,Bình Thành,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7373,2473,Mỹ Bình,Mỹ Bình,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7374,2474,Mỹ Quý Đông,Mỹ Quý Đông,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7375,2475,Mỹ Quý Tây,Mỹ Quý Tây,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7376,2476,Mỹ Thạnh Bắc,Mỹ Thạnh Bắc,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
25353,2477,Mỹ Thạnh Đông,Mỹ Thạnh Đông,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
7378,2478,Mỹ Thạnh Tây,Mỹ Thạnh Tây,1,Xã,Huyện Đức Huệ,Đức Huệ,1,,
6832,9261,Bạch Thượng,Bạch Thượng,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6833,9262,Châu Giang,Châu Giang,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6834,9264,Chuyên Ngoại,Chuyên Ngoại,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6835,9265,Đọi Sơn,Đọi Sơn,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6836,9267,Duy Hải,Duy Hải,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6837,9268,Duy Minh,Duy Minh,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6838,9270,Hoàng Đông,Hoàng Đông,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6839,9271,Mộc Bắc,Mộc Bắc,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6840,9272,Mộc Nam,Mộc Nam,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6841,9273,Tiên Ngoại,Tiên Ngoại,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6842,9274,Tiên Nội,Tiên Nội,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6843,9275,Tiên Phong,Tiên Phong,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6844,9276,Trắc Văn,Trác Văn,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6845,9277,Yên Bắc,Yên Bắc,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
6846,9278,Yên Nam,Yên Nam,1,Xã,Huyện Duy Tiên,Duy Tiên,1,,
7834,8660,Liên Sơn,Liên Sơn,1,Xã,Huyện Gia Viễn,Gia Viễn,1,,
10077,3657,Hòa Hưng,Hoà Hưng,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10078,3658,Hòa Lợi,Hoà Lợi,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10079,3659,Hòa Thuận,Hoà Thuận,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10080,3660,Long Thạnh,Long Thạnh,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10081,3661,Ngọc Chúc,Ngọc Chúc,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10082,3662,Ngọc Hòa,Ngọc Hoà,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
10083,3665,Thạnh Bình,Thạnh Bình,1,Xã,Huyện Giồng Riềng,Giồng Riềng,1,,
20765,3680,Vĩnh Phước B,Vĩnh Phước B,1,Xã,Huyện Gò Quao,Gò Quao,1,,
19685,3217,Sơn Mỹ,Sơn Mỹ,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19682,3218,Sông Phan,Sông Phan,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19680,3219,Tân Đức,Tân Đức,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19683,3220,Tân Hà,Tân Hà,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19681,3223,Tân Phúc,Tân Phúc,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19686,3224,Tân Thắng,Tân Thắng,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19684,3225,Tân Xuân,Tân Xuân,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
19687,3226,Thắng Hải,Thắng Hải,1,Xã,Huyện Hàm Tân,Hàm Tân,1,,
7793,8672,Trường Yên,Trường Yên,1,Xã,Huyện Hoa Lư,Hoa Lư,1,,
18197,11603,Bản Luốc,Bản Luốc,1,Xã,Huyện Hoàng Su Phì,Hoàng Su Phì,1,,
18211,11617,Pố Lồ,Pố Lồ,1,Xã,Huyện Hoàng Su Phì,Hoàng Su Phì,1,,
14632,11404,Cai Kinh,Cai Kinh,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14633,11405,Đô Lương,Đô Lương,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14638,11410,Hòa Lạc,Hòa Lạc,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14639,11411,Hòa Sơn,Hòa Sơn,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14640,11412,Hòa Thắng,Hòa Thắng,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14641,11413,Hữu Liên,Hữu Liên,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14642,11415,Minh Hòa,Minh Hòa,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14643,11416,Minh Sơn,Minh Sơn,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14644,11417,Minh Tiến,Minh Tiến,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14645,11418,Nhật Tiến,Nhật Tiến,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14646,11419,Quyết Thắng,Quyết Thắng,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
14647,11420,Sơn Hà,Sơn Hà,1,Xã,Huyện Hữu Lũng,Hữu Lũng,1,,
