address_id,address_service_id,NOTE,Fillter,address_name,address_service_name,address_parent,address_type,address_service_prefix,address-service_parent, Simillar
500,19869,,x,Trung T?,Trung T?,??ng ?a,2,???ng,??ng ?a,0.824
542,19857,,x,Tr??ng Chinh,Th??ng ?ình,??ng ?a,2,???ng,??ng ?a,0.75
2108,19928,,x,??ng Xá,Giang Cao,Gia Lâm,2,???ng,Gia Lâm,0.706
5065,19953,,x,?ào Nguyên ,Nguy?n S?n,Gia Lâm,2,???ng,Gia Lâm,0.727
21074,19919,,x,?ào Xuyên,??ng Xuyên,Gia Lâm,2,???ng,Gia Lâm,0.8
35640,19901,,x,?ình Vi,Bình Minh,Gia Lâm,2,???ng,Gia Lâm,0.706
35632,19949,,x,D?c Lã,Ng?c Lâm,Gia Lâm,2,???ng,Gia Lâm,0.8
35632,19961,,x,D?c Lã,Qu?c l? 1A,Gia Lâm,2,???ng,Gia Lâm,0.706
35604,19917,,x,KCN Ninh Hi?p,D?c Lã Ninh Hi?p,Gia Lâm,2,???ng,Gia Lâm,0.733
35604,19955,Có nên map ko???,x,KCN Ninh Hi?p,Ninh Hi?p,Gia Lâm,2,???ng,Gia Lâm,0.783
4180,19976,Prefix sai,x,Th? tr?n Trâu Qu?,Trâu Qu?,Gia Lâm,2,???ng,Gia Lâm,0.842
35612,19892,???ng ch? kph?i xã,x,Xã Ái M?,Ái M?,Gia Lâm,2,???ng,Gia Lâm,0.833
4183,19906,???ng ch? kph?i xã,x,Xã C? Bi,C? Bi,Gia Lâm,2,???ng,Gia Lâm,0.833
4188,19970,,x,Xã D??ng Hà,Th??ng Thanh,Gia Lâm,2,???ng,Gia Lâm,0.727
4192,19938,,x,Xã Kim Lan,Kim Quan,Gia Lâm,2,???ng,Gia Lâm,0.706
21046,20081,,x,B?ch Thái B??i,M?c Th? B??i,Hà ?ông,2,Ph?,Hà ?ông,0.786
792,20008,,x,Cao Th?ng,An Th?ng,Hà ?ông,2,???ng,Hà ?ông,0.778
788,20158,,x,??i An,Tr?i Gà,Hà ?ông,2,???ng,Hà ?ông,0.714
803,20139,,x,??ng Ti?n ?ông,R?ng ?ông,Hà ?ông,2,???ng,Hà ?ông,0.75
5112,20033,,x,??ng Mai,C?ng ?á,Hà ?ông,2,???ng,Hà ?ông,0.75
5112,20041,,x,??ng Mai,??ng Lãm,Hà ?ông,2,???ng,Hà ?ông,0.706
5112,20085,,x,??ng Mai,M??ng Khai,Hà ?ông,2,???ng,Hà ?ông,0.737
5112,20128,,x,??ng Mai,Ph??ng Bãi,Hà ?ông,2,???ng,Hà ?ông,0.737
35496,20174,,x,La N?i,V?n N?i,Hà ?ông,2,???ng,Hà ?ông,0.714
778,20171,,x,L??ng V?n Can,Tr??ng V?n ?a,Hà ?ông,2,???ng,Hà ?ông,0.741
801,20078,,x,Lý T? Tr?ng,Lý Ông Tr?ng,Hà ?ông,2,???ng,Hà ?ông,0.75
760,20097,,x,Nguy?n Khuy?n,Nguy?n Huy Ch??ng,Hà ?ông,2,???ng,Hà ?ông,0.71
760,20099,,x,Nguy?n Khuy?n,Nguy?n Khanh,Hà ?ông,2,???ng,Hà ?ông,0.769
2132,20094,,x,Nguy?n Thái H?c,Nguy?n Chánh,Hà ?ông,2,???ng,Hà ?ông,0.714
5285,20053,,x,Phú La,H?u Lân,Hà ?ông,2,???ng,Hà ?ông,0.714
3878,20122,,x,Phú Lãm,Phú M?,Hà ?ông,2,???ng,Hà ?ông,0.714
5286,20123,,x,Phú L??ng,Phú Trung,Hà ?ông,2,???ng,Hà ?ông,0.737
766,20059,,x,Phùng H?ng,H?u H?ng,Hà ?ông,2,???ng,Hà ?ông,0.737
999,20144,?ã map r?i,x,T?n ?à,Tân Xa,Hà ?ông,2,Ph?,Hà ?ông,0.714
1027,20055,,x,Thanh Bình,Hòa Bình,Hà ?ông,2,???ng,Hà ?ông,0.737
798,20153,,x,Tô Hi?n Thành,Ti?n Thành,Hà ?ông,2,???ng,Hà ?ông,0.833
751,20052,,x,V?n Phúc,H?nh Phúc,Hà ?ông,2,???ng,Hà ?ông,0.778
1069,20186,,x,Yên Xá,Yên Hòa,Hà ?ông,2,???ng,Hà ?ông,0.714
1015,20193,,x,Cao ??t,Ao Dài,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.714
415,20212,,x,?? Hành,?? Thu?n,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.75
1120,20222,,x,?? Ng?c Du,G?c ??,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.706
443,20292,,x,??ng Mác,Sông L?p,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.706
442,20227,,x,Hòa Mã,H? Ba M?u,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.75
1119,20225,,x,Hoàng Mai,Hàng Bài,Hai Bà Tr?ng,2,Ph?,Hai Bà Tr?ng,0.737
473,20287,,x,H?ng Mai,Ph??ng Mai,Hai Bà Tr?ng,2,Ph?,Hai Bà Tr?ng,0.8
473,20321,,x,H?ng Mai,T??ng Mai,Hai Bà Tr?ng,2,Ph?,Hai Bà Tr?ng,0.737
114,20241,,x,Kim Ng?u,Kim ??ng,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.706
472,20201,,x,L?c Trung,C?u L?c Trung,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.783
413,20273,,x,Nguy?n Th??ng Hi?n,Nguy?n H?u Ngh?a,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.743
413,20278,,x,Nguy?n Th??ng Hi?n,Nguy?n Trung Ng?n,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.722
5120,20325,,x,Vân H? 3,Vân H? I,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.824
469,20202,,x,V?nh Tuy,C?u V?nh Tuy,Hai Bà Tr?ng,2,???ng,Hai Bà Tr?ng,0.762
4208,20348,,x,Xã ?ông La,??ng L?u,Hoài ??c,2,???ng,Hoài ??c,0.824
4217,20359,,x,Xã Song Ph??ng,Long H?ng,Hoài ??c,2,???ng,Hoài ??c,0.727
294,20393,,x,Ch??ng D??ng ??,C?u Ch??ng D??ng,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.75
345,20516,,x,??ng Thái Thân,Ngô Thì Nh?m,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.741
331,20401,,x,?inh Tiên Hoàng,Chi?n Th?ng,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.741
1035,20476,,x,Hàng Hành,Hàng Than,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.842
356,20441,,x,Hàng Qu?t,Hàng Bút,Hoàn Ki?m,2,Ph?,Hoàn Ki?m,0.737
5970,20448,,x,Hàng R??i,Hàng Chu?i,Hoàn Ki?m,2,Ph?,Hoàn Ki?m,0.762
354,20515,,x,Ngô Quy?n,Ngõ Qu?nh,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.842
275,20521,,x,Nguy?n Ch? Ngh?a,Nguy?n Công Hoan,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.727
272,20534,,x,Nguy?n V?n T?,Nguy?n V?n Côn,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.857
304,20577,,x,Tr?n Bình Tr?ng,Tr?n Nhân Tông,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.8
304,20582,,x,Tr?n Bình Tr?ng,Tr?n Thánh Tông,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.774
308,20585,,x,Tràng Thi,Trang T?,Hoàn Ki?m,2,???ng,Hoàn Ki?m,0.778
676,20643,,x,??i Kim,Mai Khai,Hoàng Mai,2,???ng,Hoàng Mai,0.75
665,20625,,x,Giáp Bát,Giáp T?,Hoàng Mai,2,???ng,Hoàng Mai,0.75
686,20626,,x,Hoàng Mai,H?a Mi,Hoàng Mai,2,???ng,Hoàng Mai,0.75
710,20695,,x,Khuy?n L??ng,Yên L??ng,Hoàng Mai,2,???ng,Hoàng Mai,0.818
405,20635,,x,Kim ??ng,Kim Ng?u,Hoàng Mai,2,???ng,Hoàng Mai,0.706
18630,20664,,x,Nguy?n An Ninh,Nguy?n V?n Tr?i,Hoàng Mai,2,???ng,Hoàng Mai,0.733
699,20653,,x,Nguy?n Chính,Nguy?n Chí Thanh,Hoàng Mai,2,???ng,Hoàng Mai,0.828
678,20656,,x,Nguy?n Công Thái,Nguy?n Công Tr?,Hoàng Mai,2,???ng,Hoàng Mai,0.812
678,20661,,x,Nguy?n Công Thái,Nguy?n Ng?c N?i,Hoàng Mai,2,???ng,Hoàng Mai,0.75
697,20662,,x,Nguy?n Duy Trinh,Nguy?n Tam Trinh,Hoàng Mai,2,???ng,Hoàng Mai,0.788
2130,20663,,x,Nguy?n Khoái,Nguy?n Trãi,Hoàng Mai,2,???ng,Hoàng Mai,0.75
681,20671,,x,Tân Mai,Tân Khai,Hoàng Mai,2,???ng,Hoàng Mai,0.75
682,20677,,x,Thanh Lân,Thanh Ngân,Hoàng Mai,2,???ng,Hoàng Mai,0.8
3896,20676,,x,Th?nh Li?t,Thanh Li?t,Hoàng Mai,2,???ng,Hoàng Mai,0.857
19763,3469,,x,xã H??ng Lâm,H?ng Nam,Huy?n A L??i,1,Xã,A L??i,0.842
6656,2157,,x,An Hòa,An H?i,Huy?n An D??ng,1,Ph??ng,An D??ng,0.769
6664,2167,,x,H?ng Thái,H?ng Ti?n,Huy?n An D??ng,1,Xã,An D??ng,0.737
17608,9064,,x,Xã Ph??c Ti?n,Ph??c Bình,Huyên Bác ái,1,Xã,Bác Ái,0.818
17608,9068,,x,Xã Ph??c Ti?n,Ph??c Tân,Huyên Bác ái,1,Xã,Bác Ái,0.857
8106,8537,,x,Xã M? Thu?n ,M? Hòa,Huy?n Bình Tân,1,Xã,Bình Minh,0.706
8106,8539,,x,Xã M? Thu?n ,Thu?n An,Huy?n Bình Tân,1,Xã,Bình Minh,0.737
8111,8534,,x,Xã Tân Thành ,?ông Thành,Huy?n Bình Tân,1,Xã,Bình Minh,0.727
8111,8535,,x,Xã Tân Thành ,?ông Th?nh,Huy?n Bình Tân,1,Xã,Bình Minh,0.727
19859,5730,,x,Xã ??c H?nh,??c V?n,Huy?n Bù Gia M?p,1,Xã,Bù Gia M?p,0.824
6486,6270,,x,Tân Phong,Tân H?i,Huy?n Cai L?y,1,Xã,Cai L?y,0.706
7261,2407,,x,Long Hòa,Long Th?nh,Huy?n C?n ???c,1,Xã,C?n ???c,0.737
15780,7074,,x,Xã Tân Phú,An Châu,Huy?n Châu Thành,1,Th? tr?n,Châu Thành,0.706
19846,11379,,x,xã Th??ng C??ng,H?ng Phong,Huy?n Chi L?ng,1,Xã,Chi L?ng,0.75
8060,10696,?ã map r?i,x,Xã Long ?i?n Tây,Long ?i?n,Huy?n ?ông H?i,1,Xã,?ông H?i,0.833
10089,3677,,x,Xã Hòa H?ng Nam,V?nh Hòa H?ng B?c,Huy?n Gò Quao,1,Xã,Gò Quao,0.71
19910,11928,,x,xã Th??ng Thôn,Tr??ng Hà,Huy?n Hà Qu?ng,1,Xã,Hà Qu?ng,0.727
19679,3222,,x,Th? tr?n Tân Minh,Tân Ngh?a,Huy?n Hàm Tân,1,Th? tr?n,Hàm Tân,0.762
16522,3241,,x,Xã Hàm Th?ng,M? Th?nh,Huy?n Hàm Thu?n B?c,1,Xã,Hàm Thu?n B?c,0.737
16811,11950,,x,xã Hoàng Tung,Quang Trung,Huy?n Hòa An,1,Xã,Hòa An,0.783
19671,5984,,x,Xã Hoài Châu,Nh?n H?u,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.737
19665,5990,,x,Xã Hoài H??ng,Nh?n Phong,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.727
19661,5989,,x,Xã Hoài M?,Nh?n M?,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.75
19658,5991,,x,Xã Hoài Phú,Nh?n Phúc,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.737
19650,5982,,x,Xã Hoài Tân,Nh?n An,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.706
19650,5992,,x,Xã Hoài Tân,Nh?n Tân,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.778
19663,5983,,x,Xã Hoài Thanh,Nh?n H?nh,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.762
19663,5987,,x,Xã Hoài Thanh,Nh?n Khánh,Huy?n Hoài Nh?n,1,Xã,An Nh?n,0.727
19663,5993,,x,Xã Hoài Thanh,Nh?n Thành,Huy?n Hoài Nh?n,1,Ph??ng,An Nh?n,0.727
3065,14340,,x,Bùi Công Tr?ng,Nguy?n Công Trung,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.75
3066,14165,,x,Bùi V?n Ng?,Bùi V?n Th?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.783
3068,14152,,x,??c L?,B?c Lân,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.714
3070,14182,,x,??ng Thúc V?nh,??ng Qu?c V?nh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.828
3071,14192,,x,??ng Tâm,?ông Lân,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.706
3071,14198,,x,??ng Tâm,?ông Th?nh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.737
3074,14298,,x,Lê Lai,Lê Mai,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.769
3638,14302,,x,Lê Th? Hà,Lê Th? H?ng G?m,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.72
3638,14305,,x,Lê Th? Hà,Lê Th? L?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.737
3638,14307,,x,Lê Th? Hà,Lê Th? Th?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3080,14321,Có nên map ko???,x,M? Hu? 7,M? Hu?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3080,14322,,x,M? Hu? 7,M? Hu? 2,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.824
3082,14334,bên add ch? có nam th?i 2,x,Nam Th?i 2,Nam Th?i,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.842
3082,14335,bên add ch? có nam th?i 2,x,Nam Th?i 2,Nam Th?i 1,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.857
3640,14339,,x,Nguy?n ?nh Th?,Nguy?n Công Tr?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3640,14343,,x,Nguy?n ?nh Th?,Nguy?n Khanh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.741
3640,14380,,x,Nguy?n ?nh Th?,Nguy?n Th? Th?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.828
3641,14347,,x,Nguy?n Th? Sóc,Nguy?n Thái H?c,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.867
3641,14349,,x,Nguy?n Th? Sóc,Nguy?n Th? Búp,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14350,,x,Nguy?n Th? Sóc,Nguy?n Th? ?ành,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14351,,x,Nguy?n Th? Sóc,Nguy?n Th? ??y,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14352,,x,Nguy?n Th? Sóc,Nguy?n Th? ?i?p,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14353,,x,Nguy?n Th? Sóc,Nguy?n Th? H?nh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14354,,x,Nguy?n Th? Sóc,Nguy?n Th? Huê,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14355,,x,Nguy?n Th? Sóc,Nguy?n Th? Kim,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14356,,x,Nguy?n Th? Sóc,Nguy?n Th? L?ng,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14357,,x,Nguy?n Th? Sóc,Nguy?n Th? Lành,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14358,,x,Nguy?n Th? Sóc,Nguy?n Th? L?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.857
3641,14359,,x,Nguy?n Th? Sóc,Nguy?n Th? L?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.786
3641,14360,,x,Nguy?n Th? Sóc,Nguy?n Th? L?a,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14361,,x,Nguy?n Th? Sóc,Nguy?n Th? Ly,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.786
3641,14362,,x,Nguy?n Th? Sóc,Nguy?n Th? Lý,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.786
3641,14363,,x,Nguy?n Th? Sóc,Nguy?n Th? M??i,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3641,14364,,x,Nguy?n Th? Sóc,Nguy?n Th? Na,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.786
3641,14365,,x,Nguy?n Th? Sóc,Nguy?n Th? Ngâu,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14366,,x,Nguy?n Th? Sóc,Nguy?n Th? Nh?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14367,,x,Nguy?n Th? Sóc,Nguy?n Th? Nh?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14368,,x,Nguy?n Th? Sóc,Nguy?n Th? N?,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.857
3641,14369,,x,Nguy?n Th? Sóc,Nguy?n Th? Nuôi,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3641,14370,,x,Nguy?n Th? Sóc,Nguy?n Th? Pha,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3641,14371,,x,Nguy?n Th? Sóc,Nguy?n Th? Rành,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.733
3641,14372,,x,Nguy?n Th? Sóc,Nguy?n Th? Sáng,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3641,14373,,x,Nguy?n Th? Sóc,Nguy?n Th? Sáu,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.828
3641,14375,,x,Nguy?n Th? Sóc,Nguy?n Th? S?a,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.828
3641,14376,,x,Nguy?n Th? Sóc,Nguy?n Th? Thanh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.71
3641,14377,,x,Nguy?n Th? Sóc,Nguy?n Th? Thành,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.71
3641,14378,,x,Nguy?n Th? Sóc,Nguy?n Th? Th?nh,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.71
3641,14379,,x,Nguy?n Th? Sóc,Nguy?n Th? Th?a,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3641,14381,,x,Nguy?n Th? Sóc,Nguy?n Th? Xén,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.759
3642,14383,,x,Nguy?n V?n B?a,Nguy?n V?n D?y,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.828
3084,14419,Bên add ch? có 1 ,x,Nh? Tân 1,Nh? Tân,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.824
3084,14421,Bên add ch? có 1 ,x,Nh? Tân 1,Nh? Tân 2,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.842
3090,14425,,x,Phan V?n H?n,Phan Công H?n,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.769
3117,14637,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.762
3117,14638,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 13,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.833
3117,14639,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 14A,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3117,14640,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 14D,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3117,14641,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 15,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.833
3117,14642,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 17,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.833
3117,14643,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 18,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.833
3117,14644,Bên add ch? có 1 ,x,Ph? Ti?n Lân 1,Ti?n Lân 20,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.75
3094,14540,Bên add ch? có 3,x,Tân Th?i 3,Tân Th?i,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.842
3094,14541,Bên add ch? có 4,x,Tân Th?i 3,Tân Th?i 1,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.857
3094,14542,Bên add ch? có 5,x,Tân Th?i 3,Tân Th?i 2,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.857
3094,14545,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Hi?p,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.75
3094,14547,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.783
3094,14548,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì 1,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.72
3094,14550,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì 13,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.769
3094,14561,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì 3,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.8
3094,14562,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì 33,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.769
3094,14563,Bên add ch? có 1 ,x,Tân Th?i 3,Tân Th?i Nhì 4,Huy?n Hóc Môn,2,???ng,Hóc Môn,0.72
