address_id,address_service_id, Simillar,address_name,address_service_name,address_type,address_service_prefix,address_parent,address-service_parent
3572,18296,x,Bàu Cát 6,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3574,18296,x,Bàu Cát 9,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3621,18296,x,Sau Chợ Bàu Cát,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3630,18296,x,Trường Mầm Non Bàu Cát,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3033,18514,x,Tân Sơn Hòa,Tân Sơn,2,Đường,Quận Tân Bình,Tân Bình
3034,18514,x,Tân Sơn Nhì,Tân Sơn,2,Đường,Quận Tân Bình,Tân Bình
18007,3739,x,Xã Tân Hiệp A,Tân Hiệp,1,Thị trấn,Huyện Tân Hiệp,Tân Hiệp
18003,3739,x,Xã Tân Hiệp B,Tân Hiệp,1,Thị trấn,Huyện Tân Hiệp,Tân Hiệp
18009,3745,x,Xã Thạnh Đông A,Thạnh Đông,1,Xã,Huyện Tân Hiệp,Tân Hiệp
18005,3745,x,Xã Thạnh Đông B,Thạnh Đông,1,Xã,Huyện Tân Hiệp,Tân Hiệp
7290,2509,x,Hưng Điền B,Hưng Điền,1,Xã,Huyện Tân Hưng,Tân Hưng
2590,18904,x,Tân Kỳ Tân Quý,Tân Quý,2,Đường,Quận Tân Phú,Tân Phú
2504,18906,x,Bờ Bao Tân Thắng,Tân Thắng,2,Đường,Quận Tân Phú,Tân Phú
16842,6745,x,thị trấn Cao Thượng,Cao Thượng,1,Xã,Huyện Tân Yên,Tân Yên
6847,6744,x,xã Cao Thượng,Cao Thượng,1,Thị trấn,Huyện Tân Yên,Tân Yên
555,21312,x,An Dương Vương,An Dương,2,Đường,Tây Hồ,Tây Hồ
16115,9759,x,Thị trấn Mỹ An,Mỹ An,1,Xã,Huyện Tháp Mười,Tháp Mười
16146,9758,x,Xã Mỹ An,Mỹ An,1,Thị trấn,Huyện Tháp Mười,Tháp Mười
17180,4530,x,xã Thiệu Phúc,Thiệu Phú,1,Xã,Huyện Thiệu Hóa,Thiệu Hóa
7766,8499,x,Xã Biển Bạch Đông,Biển Bạch,1,Xã,Huyện Thới Bình,Thới Bình
7770,8503,x,Xã Tân Lộc Bắc,Tân Lộc,1,Xã,Huyện Thới Bình,Thới Bình
7771,8503,x,Xã Tân Lộc Đông,Tân Lộc,1,Xã,Huyện Thới Bình,Thới Bình
7764,8508,x,Thị Trấn Thới Bình,Thới Bình,1,Xã,Huyện Thới Bình,Thới Bình
7773,8507,x,Xã Thới Bình,Thới Bình,1,Thị trấn,Huyện Thới Bình,Thới Bình
7962,3103,x,Xã Trường Xuân A,Trường Xuân,1,Xã,Huyện Thới Lai,Thới Lai
7963,3103,x,Xã Trường Xuân B,Trường Xuân,1,Xã,Huyện Thới Lai,Thới Lai
5154,19096,x," Đường số 16, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5131,19096,x," Đường Số 47, Hiệp Bình Chánh, Hồ Chí Minh, Thủ Đức, Việt Nam  Tìm kiếm trên Google Maps",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5166,19096,x,"Đường 28, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5167,19096,x,"Đường 37, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5168,19096,x,"Đường 38, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5126,19096,x,"Đường 40, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5139,19096,x,"Đường A, Hiệp Bình Chánh, Hồ Chí Minh, Thủ Đức, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5141,19096,x,"Đường số 1 ,  Hiệp Bình Chánh, Hồ Chí Minh, Thủ Đức, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5150,19096,x,"Đường Số 10, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
5140,19096,x,"Đường số 11, Hiệp Bình Chánh, Hồ Chí Minh, Thủ Đức, Việt Nam",Hiệp Bình,2,Đường,Quận Thủ Đức,Thủ Đức
